RESPID;interview_end;gender;age;age_coded;DK_region;Agenda;b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?;b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?;b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?;b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?;bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?;bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?;bg7 - Hvilket parti hælder du mest til at stemme på?;bg8 - Hvad er din højest afsluttede uddannelse?;bg9 - Hvor mange børn under 18 år er der din husstand?;bg10 - Hvad er husstandens samlede årlige bruttoindkomst?;PI_idag_prob - Stemme i morgen (bg6+bg7);Weight
1606;20150316;Mand;55;50-59 år;Hovedstaden;100;økonomi;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,4195972593
1607;20150315;Mand;59;50-59 år;Syddanmark;900;indvandrerproblematik;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;(I) Liberal Alliance;;Mellemlang videregående 3-4 år;Ingen;600.000-699.999 kr.;Liberal Alliance (tidligere Ny Alliance);0,5937952891
1615;20150314;Mand;71;70++ år;Hovedstaden;2199;det kommende valg;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Radikale Venstre;1,1923510947
1616;20150314;Mand;68;60-69 år;Midtjylland;103;at få folk i arbejde;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Kort videregående 1-2 år;Ingen;300.000-399.999 kr.;Venstre;0,3307462974
1626;20150314;Kvinde;46;40-49 år;Hovedstaden;900;udlændinge integration;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;500.000-599.999 kr.;Dansk Folkeparti;1,1524906695
1627;20150314;Kvinde;66;60-69 år;Hovedstaden;300;sundhed;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Grundskole;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,9016590340
1637;20150315;Kvinde;67;60-69 år;Syddanmark;500;folk der kommer udefra tager arbejdet fra det danske folk;Ved ikke;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Gymnasie, HF eller lignende;Ingen;300.000-399.999 kr.;Dansk Folkeparti;0,4338255513
1640;20150314;Kvinde;63;60-69 år;Nordjylland;.;ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;Ingen;200.000-299.999 kr.;Enhedslisten;0,8613973390
1645;20150316;Mand;45;40-49 år;Midtjylland;100;Den langsigtede økonomiske ubalance;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Lang videregående 5 år;3 børn;1.000.000 kr. eller derover;Venstre;0,5532699639
1648;20150316;Kvinde;42;40-49 år;Sjælland;501;arbejdsvilkår;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Lang videregående 5 år;Ingen;600.000-699.999 kr.;Socialistisk Folkeparti - SF;0,8936306505
1654;20150316;Mand;44;40-49 år;Sjælland;507;Folk der tabes pga 2 års ledigheds regel;Ved ikke;Ved ikke;Ved ikke;(A) Socialdemokraterne;Ved ikke;(O) Dansk Folkeparti;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;Vil ikke oplyse;Dansk Folkeparti;0,9866676016
1661;20150314;Mand;44;40-49 år;Midtjylland;.;?;Ved ikke;Ved ikke;Ved ikke;Husker ikke;Ved ikke;Ved ikke;Kort videregående 1-2 år;Ingen;Vil ikke oplyse;;0,3307462974
1664;20150314;Mand;71;70++ år;Hovedstaden;705;Klimaproblemer;Venstre ledet regering;Ved ikke;Ved ikke;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Lang videregående 5 år;Ingen;200.000-299.999 kr.;Konservative Folkeparti;0,7846743332
1685;20150316;Mand;42;40-49 år;Syddanmark;100;Globale Krise;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;700.000-799.999 kr.;Socialdemokraterne;0,7796660771
1692;20150314;Mand;73;70++ år;Midtjylland;103;Jobmangel;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,9128052189
1694;20150314;Kvinde;66;60-69 år;Nordjylland;1302;stigende ulighed og social dumping;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Lang videregående 5 år;Ingen;600.000-699.999 kr.;Socialistisk Folkeparti - SF;0,4517529693
1698;20150315;Mand;71;70++ år;Hovedstaden;2099;at Danmark er økonomisk styret og ikke politisk styret;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Ved ikke;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;600.000-699.999 kr.;Socialdemokraterne;0,5711978896
1700;20150314;Kvinde;57;50-59 år;Sjælland;103;Arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Kort videregående 1-2 år;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,4850613817
1708;20150315;Kvinde;65;60-69 år;Hovedstaden;1201;politiets opgaver;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,3307462974
1712;20150314;Kvinde;50;50-59 år;Midtjylland;1227;Terror;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Enhedslisten;1,1318423291
1715;20150314;Mand;63;60-69 år;Hovedstaden;900;Flygtinge;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(F) Socialistisk Folkeparti - SF;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialistisk Folkeparti - SF;0,9490043333
1731;20150315;Mand;68;60-69 år;Midtjylland;1920;Krig og ufred i Mellemøsten og Afrika og Ukraine;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Ved ikke;(F) Socialistisk Folkeparti - SF;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,3307462974
1733;20150315;Kvinde;57;50-59 år;Hovedstaden;507;dagpenge problemet;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Grundskole;Ingen;600.000-699.999 kr.;Socialistisk Folkeparti - SF;2,5252865383
1738;20150314;Kvinde;64;60-69 år;Syddanmark;103;arbejdsløsheden;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Enhedslisten;0,5987442836
1742;20150314;Mand;41;40-49 år;Midtjylland;900;Indvandre;Socialdemokratisk ledet regering;Ved ikke;Ved ikke;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Dansk Folkeparti;0,7892825142
1747;20150317;Mand;71;70++ år;Sjælland;604;Ungdomsuddannelsen;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;300.000-399.999 kr.;Socialdemokraterne;1,4553247119
1748;20150315;Kvinde;45;40-49 år;Hovedstaden;1302;Stigende økonomisk skævhed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,4788254204
1750;20150314;Mand;67;60-69 år;Syddanmark;900;indvandrerpolitikken;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,6099761349
1753;20150314;Kvinde;66;60-69 år;Hovedstaden;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;700.000-799.999 kr.;Socialdemokraterne;0,3960298108
1755;20150315;Mand;73;70++ år;Syddanmark;900;flygtninge indvandrere;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;300.000-399.999 kr.;Socialdemokraterne;1,0632220227
1759;20150315;Mand;55;50-59 år;Hovedstaden;1227;Terror / EU / Arbejdsløshed / invandring;Ved ikke;Ved ikke;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Dansk Folkeparti;1,0099342022
1761;20150314;Mand;64;60-69 år;Hovedstaden;100;økonomi;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(I) Liberal Alliance;Ved ikke;(C) Konservative Folkeparti;Mellemlang videregående 3-4 år;Ingen;1.000.000 kr. eller derover;Konservative Folkeparti;0,5046850712
1762;20150315;Kvinde;77;70++ år;Nordjylland;1227;terror;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;Ved ikke;(C) Konservative Folkeparti;Mellemlang videregående 3-4 år;Ingen;600.000-699.999 kr.;Konservative Folkeparti;0,9064661473
1767;20150314;Mand;65;60-69 år;Sjælland;900;indvandringpolitik;Ved ikke;Venstre ledet regering;Socialdemokratisk ledet regering;Vil ikke svare;Ved ikke;(A) Socialdemokraterne;Mellemlang videregående 3-4 år;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,3390476436
1768;20150314;Kvinde;79;70++ år;Hovedstaden;207;At ytringsfrihed er truet;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Socialdemokraterne;1,3328562291
1769;20150315;Kvinde;65;60-69 år;Midtjylland;103;arbejdsløsheden;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(B) Radikale Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Radikale Venstre;1,3211016577
1774;20150314;Mand;59;50-59 år;Syddanmark;602;Skolereformen;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(F) Socialistisk Folkeparti - SF;(Ø) Enhedslisten;;Mellemlang videregående 3-4 år;Ingen;800.000-899.999 kr.;Enhedslisten;0,4429885361
1776;20150314;Mand;71;70++ år;Syddanmark;100;Økonomien;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Grundskole;Ingen;500.000-599.999 kr.;Venstre;1,4915651660
1784;20150314;Mand;65;60-69 år;Syddanmark;500;Arbejds markedet;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Socialdemokraterne;0,4782659904
1785;20150314;Mand;74;70++ år;Nordjylland;107;Den Extremt høje beskatning, der virker som en bremse på næsten alle initiativer;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(O) Dansk Folkeparti;;Anden uddannelse;Ingen;300.000-399.999 kr.;Dansk Folkeparti;0,7759931171
1788;20150314;Kvinde;66;60-69 år;Syddanmark;.;0;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;500.000-599.999 kr.;Socialdemokraterne;0,3307462974
1795;20150314;Mand;19;18-29 år;Sjælland;900;Indvandring;Venstre ledet regering;Venstre ledet regering;Ved ikke;Havde ikke stemmeret;(I) Liberal Alliance;;Gymnasie, HF eller lignende;Ingen;1.000.000 kr. eller derover;Liberal Alliance (tidligere Ny Alliance);2,0210574583
1796;20150314;Mand;20;18-29 år;Hovedstaden;700;Miljø;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Havde ikke stemmeret;(A) Socialdemokraterne;;Gymnasie, HF eller lignende;Ingen;Under 100.000 kr.;Socialdemokraterne;1,4067891640
1802;20150314;Mand;56;50-59 år;Syddanmark;.;???;Ved ikke;Ved ikke;Ved ikke;(Ø) Enhedslisten;Ved ikke;(O) Dansk Folkeparti;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;0,9736136376
1804;20150315;Mand;50;50-59 år;Syddanmark;600;Udanelse;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;600.000-699.999 kr.;Socialdemokraterne;0,8256888049
1807;20150317;Kvinde;34;30-39 år;Hovedstaden;103;Arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;700.000-799.999 kr.;Socialdemokraterne;1,7771351073
1810;20150316;Kvinde;47;40-49 år;Nordjylland;103;arbejdsløshed, sundhedssektorens, indvandre;Socialdemokratisk ledet regering;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,9826647006
1817;20150314;Kvinde;75;70++ år;Sjælland;103;Arbejdsløshed , for mange på kontanthjælp , for mange sløve politikere der kun tænker på sigselv , vi ældre har arbejdet hårdt fået Danmark op at stå ,har nok hjulpet  mange der skulle have lært at når man har ret har man i høj grad pligt , da jeg var ung var der ingen barn sygedag , børnepenge , så manglede vi penge måtte vi tage ekstra job , nu er der for meget blødhed , og det er vi ældre der har betalt meget i skat , og det skal vi stadigvæk , jeg vil skam heller ikke have alt foræret men sådan som de ældre bliver behandlet nu bla. På plejehjem hvor de må vælge mellem deres natmedecin og deres eneste livlinje nemlig deres telefon hvor deres pårørende fra. andre steder i dk. Kan ringe dem op og frasige sig kaffen og kage ,det kan vi ikke være bekendt .nedskæring af personale der passer på patienter ,det stakkels personale der må løbe stærkere med dårlig samvittighed fordi de ikke nåede at vise omsorg ,igen det er os ældre der har bygget dk op og så sender vi mange penge ud af landet hvor der er brug for de;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(O) Dansk Folkeparti;;Grundskole;Ingen;Vil ikke oplyse;Dansk Folkeparti;1,6260675618
1820;20150316;Kvinde;68;60-69 år;Syddanmark;103;arbejdsløsheden;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Venstre;0,4199479298
1833;20150314;Mand;52;50-59 år;Nordjylland;2400;At almindelig høflighed og pli over for hinanden forsvinder.;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;1 barn;500.000-599.999 kr.;Socialdemokraterne;0,3577668481
1834;20150314;Kvinde;69;60-69 år;Sjælland;1806;Lønniveauet er for højt. Vi er ikke konkurrencedygtige.;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(C) Konservative Folkeparti;(C) Konservative Folkeparti;;Mellemlang videregående 3-4 år;Ingen;700.000-799.999 kr.;Konservative Folkeparti;0,6310414566
1835;20150314;Kvinde;68;60-69 år;Nordjylland;300;Sundhed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Kort videregående 1-2 år;Ingen;200.000-299.999 kr.;Socialdemokraterne;0,3307462974
1838;20150314;Mand;68;60-69 år;Midtjylland;1227;terror;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Venstre;0,7346574263
1842;20150315;Mand;51;50-59 år;Midtjylland;2400;Egoisme;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;800.000-899.999 kr.;Enhedslisten;0,9365568441
1844;20150314;Mand;37;30-39 år;Syddanmark;207;ytrings frihed;Venstre ledet regering;Ved ikke;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;Vil ikke oplyse;Dansk Folkeparti;1,0276457517
1865;20150314;Kvinde;69;60-69 år;Hovedstaden;200;svagheder i demokratiet;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Lang videregående 5 år;Ingen;200.000-299.999 kr.;Socialdemokraterne;0,3532525476
1887;20150314;Mand;50;50-59 år;Midtjylland;900;flygtninge;Ved ikke;Socialdemokratisk ledet regering;Ved ikke;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;900.000-999.999 kr.;Dansk Folkeparti;0,8358732446
1890;20150314;Mand;69;60-69 år;Hovedstaden;103;Arbejdsløshed;Socialdemokratisk ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Grundskole;Ingen;100.000-199.999 kr.;Enhedslisten;0,8359570590
1891;20150314;Kvinde;63;60-69 år;Midtjylland;2400;Et samfund som helt har glemt sine egne værdier og som derfor mangler selvrespekt.;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Kort videregående 1-2 år;Ingen;Vil ikke oplyse;Dansk Folkeparti;0,3307462974
1893;20150314;Mand;54;50-59 år;Syddanmark;.;Ved ikke;Ved ikke;Ved ikke;Ved ikke;(A) Socialdemokraterne;Ved ikke;Ved ikke;Grundskole;Ingen;Ved ikke;;1,0371046559
1894;20150314;Mand;67;60-69 år;Nordjylland;103;arbejdsløshed indvandring kriminalitet af inv bander jihadister muslimer;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Grundskole;Ingen;200.000-299.999 kr.;Socialdemokraterne;0,6880673531
1899;20150314;Mand;69;60-69 år;Syddanmark;103;beskæftiglse til alle;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(Ø) Enhedslisten;;Lang videregående 5 år;Ingen;700.000-799.999 kr.;Enhedslisten;0,3307462974
1900;20150315;Kvinde;51;50-59 år;Syddanmark;1399;Børne og ældre omsorg;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;(A) Socialdemokraterne;Mellemlang videregående 3-4 år;1 barn;500.000-599.999 kr.;Socialdemokraterne;0,5168016039
1901;20150314;Mand;66;60-69 år;Hovedstaden;103;arbejdsløshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,6327321425
1902;20150314;Mand;61;60-69 år;Nordjylland;107;Mangel på beskatning af rige danskere;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,5394942280
1904;20150314;Mand;58;50-59 år;Hovedstaden;103;Arb. løshed;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(Ø) Enhedslisten;(Ø) Enhedslisten;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Enhedslisten;0,5860607042
1911;20150314;Mand;58;50-59 år;Syddanmark;1910;EU;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,9736136376
1912;20150316;Mand;77;70++ år;Midtjylland;900;flygtninge;Ved ikke;Socialdemokratisk ledet regering;Ved ikke;(A) Socialdemokraterne;(A) Socialdemokraterne;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;100.000-199.999 kr.;Socialdemokraterne;0,9128052189
1919;20150315;Mand;56;50-59 år;Hovedstaden;103;arbejdsløshed;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;600.000-699.999 kr.;Venstre;1,5324452240
1922;20150315;Kvinde;79;70++ år;Hovedstaden;900;indvandringen;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(A) Socialdemokraterne;;Mellemlang videregående 3-4 år;Ingen;300.000-399.999 kr.;Socialdemokraterne;0,6903016679
1924;20150314;Mand;29;18-29 år;Syddanmark;900;Udlændige;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;700.000-799.999 kr.;Dansk Folkeparti;1,2109823927
1928;20150314;Mand;33;30-39 år;Hovedstaden;507;Gevinsten ved at arbejde er for lille.;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;Stemme blankt;(C) Konservative Folkeparti;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;400.000-499.999 kr.;Konservative Folkeparti;2,2647124155
1929;20150316;Kvinde;18;18-29 år;Midtjylland;700;milijø;Socialdemokratisk ledet regering;Ved ikke;Socialdemokratisk ledet regering;Havde ikke stemmeret;(A) Socialdemokraterne;;Grundskole;1 barn;Ved ikke;Socialdemokraterne;2,2105715159
1936;20150315;Mand;69;60-69 år;Syddanmark;103;at skaffe private arbejdspladser;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Anden uddannelse;Ingen;300.000-399.999 kr.;Venstre;0,5988528899
1938;20150314;Kvinde;25;18-29 år;Syddanmark;.;Ved ikke;Venstre ledet regering;Ved ikke;Ved ikke;(C) Konservative Folkeparti;(K) Kristendemokraterne;;Anden uddannelse;1 barn;300.000-399.999 kr.;Kristendemokraterne;1,7359618481
1940;20150314;Mand;68;60-69 år;Midtjylland;1227;terror;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Venstre;0,7346574263
1944;20150314;Mand;41;40-49 år;Hovedstaden;900;Flygtninge;Venstre ledet regering;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(I) Liberal Alliance;(A) Socialdemokraterne;;Lang videregående 5 år;2 børn;600.000-699.999 kr.;Socialdemokraterne;0,4765106365
1947;20150314;Kvinde;66;60-69 år;Nordjylland;900;indvandre;Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;(O) Dansk Folkeparti;;Grundskole;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,7687932599
1952;20150315;Mand;28;18-29 år;Hovedstaden;100;Overforbrug;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(B) Radikale Venstre;(O) Dansk Folkeparti;;Mellemlang videregående 3-4 år;Ingen;200.000-299.999 kr.;Dansk Folkeparti;0,8297443961
1956;20150314;Mand;49;40-49 år;Syddanmark;900;indvandrer;Venstre ledet regering;Ved ikke;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;300.000-399.999 kr.;Dansk Folkeparti;0,7208336002
1960;20150316;Mand;33;30-39 år;Hovedstaden;.;ved ikke;Venstre ledet regering;Venstre ledet regering;Ved ikke;(V) Venstre;(V) Venstre;;Mellemlang videregående 3-4 år;2 børn;700.000-799.999 kr.;Venstre;1,0684192346
1967;20150314;Mand;47;40-49 år;Midtjylland;1300;socialt bedrageri;Venstre ledet regering;Venstre ledet regering;Socialdemokratisk ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Erhvervsfaglig, EFG, HTX eller lignende;1 barn;500.000-599.999 kr.;Dansk Folkeparti;0,7892825142
1971;20150315;Kvinde;49;40-49 år;Hovedstaden;1302;at der ikke bliver for stor forskel på rig og fattig;Ved ikke;Socialdemokratisk ledet regering;Ved ikke;(F) Socialistisk Folkeparti - SF;(F) Socialistisk Folkeparti - SF;;Erhvervsfaglig, EFG, HTX eller lignende;Ingen;200.000-299.999 kr.;Socialistisk Folkeparti - SF;1,8696462915
1972;20150314;Mand;42;40-49 år;Midtjylland;900;Indvandring og medføgende kriminalitet;Venstre ledet regering;Venstre ledet regering;Venstre ledet regering;(V) Venstre;(V) Venstre;;Erhvervsfaglig, EFG, HTX eller lignende;2 børn;500.000-599.999 kr.;Venstre;1,1976336146
1975;20150314;Kvinde;65;60-69 år;Syddanmark;900;For mange indvandrere;Ved ikke;Ved ikke;Venstre ledet regering;(O) Dansk Folkeparti;(O) Dansk Folkeparti;;Grundskole;Ingen;100.000-199.999 kr.;Dansk Folkeparti;0,6815403412
1977;20150314;Kvinde;70;70++ år;Hovedstaden;2099;"Ingen ""god"" statsministerkandidat";Ved ikke;Socialdemokratisk ledet regering;Socialdemokratisk ledet regering;(A) Socialdemokraterne;Ved ikke;Ved ikke;Mellemlang videregående 3-4 år;Ingen;Vil ikke oplyse;;0,6798323906
