RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
311,20150115,Kvinde,74,70 år ++,Syddanmark,indvandrer,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,100.000-199.999 kr.,Venstre,1.4064730123
315,20150117,Mand,61,60-69 år,Midtjylland,indvandringen.,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,800.000-899.999 kr.,Dansk Folkeparti,0.3351068263
316,20150116,Kvinde,68,60-69 år,Hovedstaden,forskellen på rig og fattig,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Lang videregående 5 år,Ingen,300.000-399.999 kr.,Enhedslisten,0.3351068263
317,20150115,Mand,57,50-59 år,Hovedstaden,At komme af med den håbløse regering,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(C) Konservative Folkeparti,,Lang videregående 5 år,Ingen,900.000-999.999 kr.,Konservative Folkeparti,0.3513456090
318,20150115,Kvinde,71,70 år ++,Syddanmark,arbejdsløshed,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Venstre,0.5866409682
323,20150115,Mand,69,60-69 år,Syddanmark,Flygtninge,Venstre ledet regering,Ved ikke,Ved ikke,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Socialdemokraterne,0.5819912809
324,20150115,Kvinde,57,50-59 år,Midtjylland,arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Socialdemokraterne,1.1076984669
326,20150115,Mand,79,70 år ++,Hovedstaden,At få væksten i gang,Socialdemokratisk ledet regering,Ved ikke,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Lang videregående 5 år,Ingen,700.000-799.999 kr.,Enhedslisten,0.4675336185
328,20150115,Kvinde,73,70 år ++,Midtjylland,Islamisterne,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Socialdemokraterne,1.2191580434
332,20150115,Kvinde,54,50-59 år,Sjælland,regeringen sender for mange penge ud af landet,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,(Ø) Enhedslisten,,Grundskole,Ingen,500.000-599.999 kr.,Enhedslisten,1.5177512498
333,20150119,Kvinde,48,40-49 år,Syddanmark,arbejdeløsheden,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,300.000-399.999 kr.,Socialdemokraterne,2.7771929440
334,20150115,Mand,41,40-49 år,Sjælland,indvandre,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,Vil ikke svare,Vil ikke svare,,Grundskole,Ingen,100.000-199.999 kr.,,1.6657539060
340,20150115,Mand,38,30-39 år,Nordjylland,kronisk og psykiske syge bliver holdt udenfor arbejdsmarkedet,Ved ikke,Venstre ledet regering,Ved ikke,(K) Kristendemokraterne,(K) Kristendemokraterne,,Grundskole,Ingen,100.000-199.999 kr.,Kristendemokraterne,3.0464256936
341,20150115,Mand,70,70 år ++,Hovedstaden,at få voksne seriøse og vidende politikere,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(C) Konservative Folkeparti,,Mellemlang videregående 3-4 år,Ingen,700.000-799.999 kr.,Konservative Folkeparti,0.4211480552
342,20150116,Kvinde,62,60-69 år,Sjælland,at politikerne gør noget for danmark i stedet for at bruge så meget tid på valgkamp,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,500.000-599.999 kr.,Venstre,0.8160970416
344,20150115,Kvinde,50,50-59 år,Nordjylland,Deres store vold,Ved ikke,Ved ikke,Ved ikke,(K) Kristendemokraterne,Ved ikke,(K) Kristendemokraterne,"Erhvervsfaglig, EFG, HTX eller lignende",1 barn,500.000-599.999 kr.,Kristendemokraterne,1.2825475287
345,20150116,Kvinde,63,60-69 år,Sjælland,manglende ansvarlighed på mange planer,Ved ikke,Ved ikke,Ved ikke,Husker ikke,Ved ikke,(B) Radikale Venstre,Mellemlang videregående 3-4 år,Ingen,200.000-299.999 kr.,Radikale Venstre,0.6310049282
347,20150115,Kvinde,66,60-69 år,Midtjylland,"for mange flygtninge og indvandre, der er ikke råd til vore egne svage",Venstre ledet regering,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.5102347192
348,20150117,Mand,63,60-69 år,Nordjylland,Modernisering af velfærdsstaten,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,600.000-699.999 kr.,Venstre,0.3351068263
349,20150117,Mand,55,50-59 år,Midtjylland,Levebrødspolitikere som ikke har tilstrækkelig kendskab til hvad de har gang i.,Ved ikke,Ved ikke,Ved ikke,Vil ikke svare,Vil ikke svare,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,,0.6357990330
352,20150115,Mand,70,70 år ++,Syddanmark,ekstremisme,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.7899844658
354,20150116,Kvinde,71,70 år ++,Sjælland,arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,200.000-299.999 kr.,Socialdemokraterne,1.7228408315
357,20150116,Kvinde,35,30-39 år,Syddanmark,Terror,Socialdemokratisk ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,1 barn,300.000-399.999 kr.,Dansk Folkeparti,0.8002134751
359,20150115,Mand,76,70 år ++,Midtjylland,arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,200.000-299.999 kr.,Socialdemokraterne,1.2077453068
360,20150115,Mand,41,40-49 år,Nordjylland,ny danskere,Ved ikke,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",2 børn,800.000-899.999 kr.,Dansk Folkeparti,1.2846124692
361,20150115,Kvinde,61,60-69 år,Midtjylland,Velfærden,Ved ikke,Venstre ledet regering,Ved ikke,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Venstre,0.3351068263
363,20150115,Mand,68,60-69 år,Sjælland,arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(F) Socialistisk Folkeparti - SF,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Socialistisk Folkeparti - SF,0.3351068263
364,20150115,Kvinde,70,70 år ++,Syddanmark,økonomien,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Venstre,0.5866409682
365,20150116,Mand,70,70 år ++,Hovedstaden,At et valg i 2015 sandsynligvis vil bringe Lars Lykke i statsministeriet og give Dansk Folkeparti magten i Danmark.,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Socialdemokraterne,0.5251464635
370,20150115,Kvinde,53,50-59 år,Midtjylland,ungdomsarbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(Ø) Enhedslisten,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,700.000-799.999 kr.,Enhedslisten,1.0740282427
371,20150115,Mand,60,60-69 år,Hovedstaden,dagpenge til ufaglærte over 58 år der bliver tvunget fra hus og hjem af De radikale socialdemokrater,Venstre ledet regering,Ved ikke,Ved ikke,(A) Socialdemokraterne,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,200.000-299.999 kr.,Dansk Folkeparti,0.4221127957
375,20150119,Kvinde,59,50-59 år,Midtjylland,Skaffe arbejde til alle som kan,Ved ikke,Ved ikke,Ved ikke,(K) Kristendemokraterne,Ved ikke,(K) Kristendemokraterne,Kort videregående 1-2 år,Ingen,100.000-199.999 kr.,Kristendemokraterne,0.3351068263
376,20150116,Kvinde,43,40-49 år,Syddanmark,Løndumping,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",4 børn ++,800.000-899.999 kr.,Socialdemokraterne,2.2247713618
379,20150115,Mand,59,50-59 år,Hovedstaden,Integration,Socialdemokratisk ledet regering,Ved ikke,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,Ingen,300.000-399.999 kr.,Enhedslisten,0.4626327138
381,20150115,Kvinde,66,60-69 år,Hovedstaden,flygtninge,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(I) Liberal Alliance,(I) Liberal Alliance,,"Gymnasie, HF eller lignende",Ingen,Vil ikke oplyse,Liberal Alliance (tidligere Ny Alliance),0.6891462348
382,20150115,Kvinde,69,60-69 år,Syddanmark,Firmalukninger og arbejdsløshed,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,(O) Dansk Folkeparti,,Grundskole,Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.5527486098
384,20150119,Mand,54,50-59 år,Midtjylland,Arbejdspladser bliver flyttet ud,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,800.000-899.999 kr.,Socialdemokraterne,0.8790558769
387,20150115,Kvinde,56,50-59 år,Hovedstaden,Arbejdsløshed,Ved ikke,Socialdemokratisk ledet regering,Ved ikke,(A) Socialdemokraterne,Ved ikke,(F) Socialistisk Folkeparti - SF,Kort videregående 1-2 år,1 barn,800.000-899.999 kr.,Socialistisk Folkeparti - SF,0.5949676126
388,20150115,Mand,40,40-49 år,Hovedstaden,terror trusler,Ved ikke,Ved ikke,Ved ikke,Havde ikke stemmeret,Har ikke stemmeret,,Kort videregående 1-2 år,Ingen,Ved ikke,,0.4009019721
389,20150115,Mand,28,18-29 år,Nordjylland,daw,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Mellemlang videregående 3-4 år,1 barn,500.000-599.999 kr.,Venstre,1.3352424911
392,20150116,Kvinde,65,60-69 år,Midtjylland,Terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Grundskole,Ingen,Vil ikke oplyse,Venstre,0.8999086529
393,20150115,Mand,54,50-59 år,Nordjylland,økonomi,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(Ø) Enhedslisten,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Enhedslisten,1.1126915846
398,20150119,Mand,69,60-69 år,Sjælland,Indvandrere,Ved ikke,Venstre ledet regering,Socialdemokratisk ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,500.000-599.999 kr.,Dansk Folkeparti,0.4583836853
417,20150118,Kvinde,40,40-49 år,Midtjylland,Økonomi,Venstre ledet regering,Ved ikke,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,200.000-299.999 kr.,Dansk Folkeparti,1.5478681736
420,20150115,Kvinde,50,50-59 år,Sjælland,"Der skal mere gang i virksomhederne, så der kommer flere folk i arbejde og mere omsætning i samfundet.",Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,Vil ikke oplyse,Dansk Folkeparti,0.3351068263
432,20150115,Kvinde,70,70 år ++,Sjælland,Mrsa,Ved ikke,Venstre ledet regering,Venstre ledet regering,Stemte ikke,Vil ikke stemme,(I) Liberal Alliance,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Liberal Alliance (tidligere Ny Alliance),0.6235622812
435,20150115,Kvinde,50,50-59 år,Sjælland,Økonomisk krise,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,Ved ikke,(A) Socialdemokraterne,Mellemlang videregående 3-4 år,Ingen,400.000-499.999 kr.,Socialdemokraterne,0.5230308013
441,20150115,Mand,26,18-29 år,Hovedstaden,?,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(V) Venstre,,Lang videregående 5 år,Ingen,600.000-699.999 kr.,Venstre,1.2221319790
451,20150115,Mand,54,50-59 år,Hovedstaden,Ved ikke.,Ved ikke,Ved ikke,Ved ikke,Stemte blankt,Stemme blankt,Ved ikke,Grundskole,Ingen,400.000-499.999 kr.,,1.1163263544
452,20150116,Mand,57,50-59 år,Sjælland,indvandere,Venstre ledet regering,Venstre ledet regering,Ved ikke,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,600.000-699.999 kr.,Dansk Folkeparti,0.3351068263
454,20150115,Mand,35,30-39 år,Hovedstaden,Finansiel udvikling,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(Ø) Enhedslisten,(Ø) Enhedslisten,,Kort videregående 1-2 år,2 børn,500.000-599.999 kr.,Enhedslisten,0.9528204232
455,20150115,Mand,43,40-49 år,Sjælland,Indvandring,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,2 børn,800.000-899.999 kr.,Dansk Folkeparti,0.4646366733
456,20150116,Kvinde,53,50-59 år,Hovedstaden,Terrorangreb,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Gymnasie, HF eller lignende",Ingen,900.000-999.999 kr.,Dansk Folkeparti,0.6285500120
461,20150115,Mand,48,40-49 år,Nordjylland,Flygtninge,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Kort videregående 1-2 år,3 børn,800.000-899.999 kr.,Venstre,0.7350499423
462,20150119,Mand,75,70 år ++,Hovedstaden,flygtninge,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(V) Venstre,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Vil ikke oplyse,Socialdemokraterne,1.2590380998
464,20150116,Kvinde,63,60-69 år,Syddanmark,De er mange,Ved ikke,Venstre ledet regering,Ved ikke,(V) Venstre,(V) Venstre,,Anden uddannelse,Ingen,500.000-599.999 kr.,Venstre,0.6709209377
471,20150117,Mand,74,70 år ++,Hovedstaden,flygtninge,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,400.000-499.999 kr.,Dansk Folkeparti,0.7601937223
482,20150115,Kvinde,37,30-39 år,Syddanmark,"At folk er blevet egoistiske, velfædsstaten er truet, liberal politik truer økonomi, jobs, tryghed, velfærd",Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,(F) Socialistisk Folkeparti - SF,,Lang videregående 5 år,Ingen,200.000-299.999 kr.,Socialistisk Folkeparti - SF,1.5482091829
484,20150116,Mand,60,60-69 år,Hovedstaden,Landets sikkerhed.,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,500.000-599.999 kr.,Venstre,0.7444858658
487,20150115,Kvinde,36,30-39 år,Sjælland,terror,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(V) Venstre,Ved ikke,(A) Socialdemokraterne,Mellemlang videregående 3-4 år,Ingen,500.000-599.999 kr.,Socialdemokraterne,1.3849268386
491,20150116,Kvinde,74,70 år ++,Hovedstaden,Den sociale forskel,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Anden uddannelse,Ingen,Vil ikke oplyse,Socialdemokraterne,1.3629518913
498,20150115,Mand,72,70 år ++,Nordjylland,arbejdsløse,Venstre ledet regering,Venstre ledet regering,Ved ikke,(V) Venstre,(V) Venstre,,Grundskole,Ingen,500.000-599.999 kr.,Venstre,1.6790110226
501,20150115,Mand,69,60-69 år,Sjælland,Få job til alle,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,Vil ikke svare,Vil ikke svare,,"Gymnasie, HF eller lignende",Ingen,700.000-799.999 kr.,,0.3351068263
508,20150116,Mand,75,70 år ++,Midtjylland,Terrorisme,Venstre ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,100.000-199.999 kr.,Dansk Folkeparti,0.5841707991
509,20150115,Kvinde,67,60-69 år,Syddanmark,At undgå terror,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(V) Venstre,,Grundskole,Ingen,100.000-199.999 kr.,Venstre,0.9748912453
510,20150117,Kvinde,68,60-69 år,Syddanmark,arbejdsløsheden,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,Ved ikke,Ved ikke,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,Ved ikke,,0.6389928633
513,20150116,Kvinde,66,60-69 år,Midtjylland,ved ikke,Ved ikke,Ved ikke,Ved ikke,Vil ikke svare,Ved ikke,Ved ikke,Grundskole,Ingen,300.000-399.999 kr.,,0.7363075732
520,20150117,Kvinde,73,70 år ++,Nordjylland,klimaændringer,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(I) Liberal Alliance,(A) Socialdemokraterne,,Lang videregående 5 år,Ingen,1.000.000 kr. eller derover,Socialdemokraterne,0.6095428265
529,20150116,Kvinde,57,50-59 år,Syddanmark,de ældre,Venstre ledet regering,Ved ikke,Ved ikke,(A) Socialdemokraterne,(A) Socialdemokraterne,,Grundskole,Ingen,500.000-599.999 kr.,Socialdemokraterne,1.4979597550
532,20150115,Kvinde,68,60-69 år,Sjælland,arbejdsløshed,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Kort videregående 1-2 år,Ingen,100.000-199.999 kr.,Socialdemokraterne,0.3351068263
538,20150115,Mand,58,50-59 år,Midtjylland,manglene arbejdspladser,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,(O) Dansk Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Dansk Folkeparti,0.5307637965
542,20150115,Kvinde,38,30-39 år,Midtjylland,"At bibeholde vores velfærdssamfund, og lave de rigtige prioteringer i forhold til hvad der er nødvendigt",Ved ikke,Venstre ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,(F) Socialistisk Folkeparti - SF,"Erhvervsfaglig, EFG, HTX eller lignende",2 børn,500.000-599.999 kr.,Socialistisk Folkeparti - SF,3.0464256936
543,20150115,Kvinde,51,50-59 år,Nordjylland,Terror,Venstre ledet regering,Venstre ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,Ved ikke,Ved ikke,"Gymnasie, HF eller lignende",Ingen,600.000-699.999 kr.,,0.9099328387
545,20150117,Mand,70,70 år ++,Hovedstaden,Arbejdsløshed,Ved ikke,Ved ikke,Ved ikke,Vil ikke svare,Vil ikke svare,,Grundskole,Ingen,Vil ikke oplyse,,1.1367452726
546,20150118,Kvinde,56,50-59 år,Syddanmark,ved ikke,Ved ikke,Ved ikke,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,500.000-599.999 kr.,Socialdemokraterne,1.1999946982
549,20150116,Kvinde,73,70 år ++,Hovedstaden,alle flygtninge,Ved ikke,Venstre ledet regering,Venstre ledet regering,(O) Dansk Folkeparti,(O) Dansk Folkeparti,,Grundskole,Ingen,100.000-199.999 kr.,Dansk Folkeparti,1.1957768109
554,20150116,Mand,56,50-59 år,Sjælland,gi alle faggrupper fagligheden tilbage drop alle skema mållinger ',Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,Ved ikke,Ved ikke,Anden uddannelse,Ingen,600.000-699.999 kr.,,0.7448877048
