RESPID,interview_end,gender,age,age_coded,DK_region,"b1 - Hvilket problem mener du er det vigtigste, som Danmark står overfor lige nu?",b2a - Hvilken regering er bedst til at sikre en fornuftig flygtninge/indvandrerpolitik?,"b2b - Hvilken regering er bedst til at varetage økonomien, eksempelvis vækst og arbejdspladser?","b2c - Hvilken regering er bedst til at levere velfærden, eksempelvis sundhed, uddannelse og ældrepleje?","bg5 - Hvilket parti stemte du på, ved Folketingsvalget den 15. september 2011?","bg6 - Hvilket parti ville du stemme på, hvis der var Folketingsvalg i morgen?",bg7 - Hvilket parti hælder du mest til at stemme på?,bg8 - Hvad er din højest afsluttede uddannelse?,bg9 - Hvor mange børn under 18 år er der din husstand?,bg10 - Hvad er husstandens samlede årlige bruttoindkomst?,PI_idag_prob - Stemme i morgen (bg6+bg7),Weight
2096,20150117,Mand,49,40-49 år,Sjælland,regeringen,Ved ikke,Ved ikke,Ved ikke,(V) Venstre,Ved ikke,(Ø) Enhedslisten,"Erhvervsfaglig, EFG, HTX eller lignende",Ingen,300.000-399.999 kr.,Enhedslisten,1.7888781327
2102,20150117,Mand,69,60-69 år,Hovedstaden,indvandring,Ved ikke,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(F) Socialistisk Folkeparti - SF,Ved ikke,Ved ikke,Mellemlang videregående 3-4 år,Ingen,500.000-599.999 kr.,,0.3351068263
2104,20150117,Kvinde,26,18-29 år,Hovedstaden,Finanskrise,Ved ikke,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(C) Konservative Folkeparti,,Lang videregående 5 år,Ingen,300.000-399.999 kr.,Konservative Folkeparti,1.1597496638
2111,20150119,Mand,24,18-29 år,Midtjylland,overbefolkning,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(B) Radikale Venstre,(B) Radikale Venstre,,Lang videregående 5 år,Ingen,100.000-199.999 kr.,Radikale Venstre,1.7409397482
2112,20150118,Kvinde,33,30-39 år,Sjælland,for mange arbejdsløse,Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(C) Konservative Folkeparti,(C) Konservative Folkeparti,,"Erhvervsfaglig, EFG, HTX eller lignende",2 børn,600.000-699.999 kr.,Konservative Folkeparti,2.6628067640
2117,20150118,Kvinde,68,60-69 år,Midtjylland,"stramninger inden for handicapområdet, børneområdet",Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,Socialdemokratisk ledet regering,(A) Socialdemokraterne,(A) Socialdemokraterne,,Kort videregående 1-2 år,Ingen,200.000-299.999 kr.,Socialdemokraterne,0.3351068263
2119,20150117,Kvinde,46,40-49 år,Midtjylland,"For mange flygtninger, indvandre",Venstre ledet regering,Venstre ledet regering,Venstre ledet regering,(V) Venstre,(O) Dansk Folkeparti,,Grundskole,2 børn,300.000-399.999 kr.,Dansk Folkeparti,1.5478681736
2121,20150117,Mand,23,18-29 år,Midtjylland,islam,Ved ikke,Ved ikke,Ved ikke,Stemte ikke,(O) Dansk Folkeparti,,Mellemlang videregående 3-4 år,Ingen,Under 100.000 kr.,Dansk Folkeparti,0.5799193798
2123,20150117,Kvinde,26,18-29 år,Hovedstaden,Der er mange,Ved ikke,Ved ikke,Ved ikke,(Ø) Enhedslisten,(Ø) Enhedslisten,,Mellemlang videregående 3-4 år,Ingen,100.000-199.999 kr.,Enhedslisten,1.5270952933
2131,20150118,Kvinde,44,40-49 år,Syddanmark,At de rige og veluddannede hytter ders eget skin. Og at de får lov at lave skumle forretninger/ snyde og bedrage uden at der bliver gjort noget. Snart er lov og ret en skrønne for folk tænker kun på dem selv og deres.,Ved ikke,Ved ikke,Ved ikke,(A) Socialdemokraterne,Ved ikke,(Ø) Enhedslisten,Mellemlang videregående 3-4 år,Ingen,200.000-299.999 kr.,Enhedslisten,0.8997482562
